50000   2.27173	     0.00482    0.006178
100000  9.07996      0.009462   0.013833
150000	20.452444    0.013791   0.020112
200000	36.114716    0.018765   0.0273
250000	56.481628    0.023822   0.034969
300000	81.265249    0.028775   0.041188
350000	110.638224   0.0332     0.048763
400000	146.73578    0.037142   0.054047
450000	188.697298   0.042581   0.061589
500000	229.263051   0.04762    0.067876
550000	277.455106   0.051752   0.075957 
600000	331.080483   0.056336   0.083344
650000	385.955846   0.060633   0.088768
700000	442.253381   0.064397   0.096608
750000	509.364658   0.070213   0.103337
800000	591.492992   0.07391    0.10955
850000	663.925307   0.078622   0.114493
900000	731.528174   0.083628   0.12238
950000	820.369584   0.086669   0.128675
1000000	916.71418    0.09193    0.134712

